Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-12,United Kingdom,2022-01-13 08:00:09,52.3555,-1.1743,12585787,131351,,,"England, United Kingdom",22483.773750741373,1.0436455026610574
2022-01-12,United Kingdom,2022-01-13 08:00:09,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-12,United Kingdom,2022-01-13 08:00:09,36.1408,-5.3536,10248,100,,,"Gibraltar, United Kingdom",30417.618948680654,0.9758001561280251
2022-01-12,United Kingdom,2022-01-13 08:00:09,54.2361,-4.5481,19406,68,,,"Isle of Man, United Kingdom",22821.996424875342,0.350407090590539
2022-01-12,United Kingdom,2022-01-13 08:00:09,16.742498,-62.187366,118,1,,,"Montserrat, United Kingdom",2360.472094418884,0.8474576271186439
2022-01-12,United Kingdom,2022-01-13 08:00:09,54.7877,-6.4923,469212,3017,,,"Northern Ireland, United Kingdom",24936.86224489796,0.6429929328320674
2022-01-12,United Kingdom,2022-01-13 08:00:09,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-12,United Kingdom,2022-01-13 08:00:09,56.4907,-4.2026,1074591,9971,,,"Scotland, United Kingdom",19669.265828345502,0.9278879127035308
2022-01-12,United Kingdom,2022-01-13 08:00:09,21.69400000000001,-71.7979,4636,28,,,"Turks and Caicos Islands, United Kingdom",11973.758975153676,0.6039689387402933
2022-01-12,United Kingdom,2022-01-13 08:00:09,,,0,0,,,"Unknown, United Kingdom",,
2022-01-12,United Kingdom,2022-01-13 08:00:09,52.1307,-3.7837,732548,6668,,,"Wales, United Kingdom",23339.96049193908,0.910247519616462
2022-01-12,United Kingdom,2022-01-13 08:00:09,49.2138,-2.1358,24666,90,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-12,United Kingdom,2022-01-13 08:00:09,49.448196,-2.58949,10042,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-13,United Kingdom,2022-01-14 04:21:54,18.2206,-63.0686,1942,6,,,"Anguilla, United Kingdom",12944.940674576723,0.30895983522142123
2022-01-13,United Kingdom,2022-01-14 04:21:54,32.3078,-64.7505,7880,110,,,"Bermuda, United Kingdom",12653.959179740821,1.3959390862944163
2022-01-13,United Kingdom,2022-01-14 04:21:54,18.4207,-64.64,4947,40,,,"British Virgin Islands, United Kingdom",16360.750074412144,0.8085708510208207
2022-01-13,United Kingdom,2022-01-14 04:21:54,19.3133,-81.2546,11666,14,,,"Cayman Islands, United Kingdom",17751.065124771758,0.12000685753471628
2022-01-13,United Kingdom,2022-01-14 04:21:54,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",20840.00492671511,0.3433524710120455
2022-01-13,United Kingdom,2022-01-14 04:21:54,52.3555,-1.1743,12680151,131635,,,"England, United Kingdom",22652.349528022125,1.038118552373706
2022-01-13,United Kingdom,2022-01-14 04:21:54,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-13,United Kingdom,2022-01-14 04:21:54,36.1408,-5.3536,10400,100,,,"Gibraltar, United Kingdom",30868.77801193197,0.9615384615384616
2022-01-13,United Kingdom,2022-01-14 04:21:54,54.2361,-4.5481,19563,70,,,"Isle of Man, United Kingdom",23006.632797064634,0.3578183305219036
2022-01-13,United Kingdom,2022-01-14 04:21:54,16.742498,-62.187366,118,1,,,"Montserrat, United Kingdom",2360.472094418884,0.8474576271186439
2022-01-13,United Kingdom,2022-01-14 04:21:54,54.7877,-6.4923,472192,3031,,,"Northern Ireland, United Kingdom",25095.23809523809,0.6418999051233396
2022-01-13,United Kingdom,2022-01-14 04:21:54,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-13,United Kingdom,2022-01-14 04:21:54,56.4907,-4.2026,1079729,9997,,,"Scotland, United Kingdom",19763.311551626302,0.9258804755637756
2022-01-13,United Kingdom,2022-01-14 04:21:54,21.69400000000001,-71.7979,4731,28,,,"Turks and Caicos Islands, United Kingdom",12219.122888578955,0.5918410484041429
2022-01-13,United Kingdom,2022-01-14 04:21:54,,,0,0,,,"Unknown, United Kingdom",,
2022-01-13,United Kingdom,2022-01-14 04:21:54,52.1307,-3.7837,735745,6679,,,"Wales, United Kingdom",23441.821194163003,0.9077873448001684
2022-01-13,United Kingdom,2022-01-14 04:21:54,49.2138,-2.1358,24993,90,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-13,United Kingdom,2022-01-14 04:21:54,49.448196,-2.58949,10131,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-14,United Kingdom,2022-01-15 04:21:07,18.2206,-63.0686,2040,6,,,"Anguilla, United Kingdom",13598.186908412212,0.29411764705882354
2022-01-14,United Kingdom,2022-01-15 04:21:07,32.3078,-64.7505,8541,110,,,"Bermuda, United Kingdom",13715.414385046486,1.2879053974944386
2022-01-14,United Kingdom,2022-01-15 04:21:07,18.4207,-64.64,5255,42,,,"British Virgin Islands, United Kingdom",17379.369646459636,0.7992388201712655
2022-01-14,United Kingdom,2022-01-15 04:21:07,19.3133,-81.2546,11666,14,,,"Cayman Islands, United Kingdom",17751.065124771758,0.12000685753471628
2022-01-14,United Kingdom,2022-01-15 04:21:07,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",21057.601510859306,0.3398044731638025
2022-01-14,United Kingdom,2022-01-15 04:21:07,52.3555,-1.1743,12766944,131856,,,"England, United Kingdom",22807.40015577771,1.03279218581988
2022-01-14,United Kingdom,2022-01-15 04:21:07,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-14,United Kingdom,2022-01-15 04:21:07,36.1408,-5.3536,10549,100,,,"Gibraltar, United Kingdom",31311.032619987534,0.9479571523367144
2022-01-14,United Kingdom,2022-01-15 04:21:07,54.2361,-4.5481,19686,70,,,"Isle of Man, United Kingdom",23151.284222410384,0.35558264756679875
