Day,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
2022-01-10,0.00010350163292213198,3.859265453142085e-05,,,0.1791967044284243
2022-01-10,0.00041997572987971163,0.0007075319997427157,,,0.8096446700507615
2022-01-10,0.0002242180070563384,0.00025728436354280565,,,0.5514618492987877
2022-01-10,0.000565901307089185,7.71853090628417e-05,,,0.0655490676210209
2022-01-10,0.0,0.0,,,0.2003864847455642
2022-01-10,0.6592830705171762,0.8402392744580948,,,0.6124965147875271
2022-01-10,4.530195055809072e-06,0.0,,,0.0
2022-01-10,0.0005313119354277723,0.0006432109088570141,,,0.5818035911325107
2022-01-10,0.0009966962086904172,0.0004373834180227696,,,0.21089781295117901
2022-01-10,6.075791016026285e-06,6.432109088570142e-06,,,0.5087719298245613
2022-01-10,0.024669310417439354,0.019386376792950407,,,0.37766975608702225
2022-01-10,2.131856496851328e-07,0.0,,,0.0
2022-01-10,0.056325620614071675,0.06389657168585579,,,0.5451853029369714
2022-01-10,0.0002137719102217669,0.00017366694539139383,,,0.3904263275991024
2022-01-10,0.0,0.0,,,
2022-01-10,0.03877239388670963,0.04277352543899144,,,0.5301820241214263
2022-01-10,0.001267868355089906,0.0005788898179713127,0.0,0.0,0.0
2022-01-10,0.000523370769977001,0.00018009905447996397,0.0,0.0,0.0
2022-01-11,0.00010350163292213198,3.859265453142085e-05,,,0.1791967044284243
2022-01-11,0.00041997572987971163,0.0007075319997427157,,,0.8096446700507615
2022-01-11,0.0002539041087749932,0.00025728436354280565,,,0.48698572628043657
2022-01-11,0.0005983055258413252,7.71853090628417e-05,,,0.06199893105291288
2022-01-11,0.0,0.0,,,0.200634188526953
2022-01-11,0.6645856904782069,0.8425419695118028,,,0.609274673618606
2022-01-11,4.530195055809072e-06,0.0,,,0.0
2022-01-11,0.0005380805798052752,0.0006432109088570141,,,0.574484944532488
2022-01-11,0.0010044774849039245,0.0004373834180227696,,,0.2092640738579084
2022-01-11,6.075791016026285e-06,6.432109088570142e-06,,,0.5087719298245613
2022-01-11,0.024851584147920144,0.01939280890203898,,,0.3750241266164833
2022-01-11,2.131856496851328e-07,0.0,,,0.0
2022-01-11,0.05686876435305697,0.06399948543127292,,,0.5408480377272199
2022-01-11,0.00021819551245273343,0.00017366694539139383,,,0.38251099169516367
2022-01-11,0.0,0.0,,,
2022-01-11,0.038888366880138345,0.04279925387534572,,,0.5289188692846823
2022-01-11,0.0012906792196062152,0.0005788898179713127,0.0,0.0,0.0
2022-01-11,0.0005300861179420827,0.00018009905447996397,0.0,0.0,0.0
2022-01-12,0.00010350163292213198,3.859265453142085e-05,,,0.1791967044284243
2022-01-12,0.00041997572987971163,0.0007075319997427157,,,0.8096446700507615
2022-01-12,0.000263657352248088,0.00025728436354280565,,,0.468971093592076
2022-01-12,0.0006217559473066898,9.004952723998198e-05,,,0.06960397737013543
2022-01-12,0.0,0.0,,,0.20144622217161076
2022-01-12,0.6707772945984246,0.8448639608927767,,,0.6053143915434133
2022-01-12,4.530195055809072e-06,0.0,,,0.0
2022-01-12,0.0005461816344933103,0.0006432109088570141,,,0.5659640905542546
2022-01-12,0.0010342701794474219,0.0004373834180227696,,,0.2032361125425126
2022-01-12,6.288976665711418e-06,6.432109088570142e-06,,,0.4915254237288134
2022-01-12,0.025007316265015133,0.019405673120216117,,,0.37293590104259905
2022-01-12,2.131856496851328e-07,0.0,,,0.0
2022-01-12,0.05727184512019914,0.06413455972213289,,,0.5381749893680479
2022-01-12,0.0002470821679850689,0.00018009905447996397,,,0.3503019844693701
2022-01-12,0.0,0.0,,,
2022-01-12,0.039042180326386164,0.042889303402585705,,,0.5279435613775479
2022-01-12,0.0013146093087833715,0.0005788898179713127,0.0,0.0,0.0
2022-01-12,0.0005352025735345259,0.00019296327265710427,0.0,0.0,0.0
2022-01-13,0.00010350163292213198,3.859265453142085e-05,,,0.1791967044284243
2022-01-13,0.00041997572987971163,0.0007075319997427157,,,0.8096446700507615
2022-01-13,0.000263657352248088,0.00025728436354280565,,,0.468971093592076
2022-01-13,0.0006217559473066898,9.004952723998198e-05,,,0.06960397737013543
2022-01-13,0.0,0.0,,,0.19914443318698638
2022-01-13,0.6758065572601466,0.8466906798739307,,,0.6021087603767494
2022-01-13,4.530195055809072e-06,0.0,,,0.0
2022-01-13,0.0005542826891813453,0.0006432109088570141,,,0.5576923076923077
2022-01-13,0.0010426377161975632,0.00045024763619990995,,,0.20753463170270406
2022-01-13,6.288976665711418e-06,6.432109088570142e-06,,,0.4915254237288134
2022-01-13,0.025166139574030556,0.0194957226474561,,,0.37230194497153696
2022-01-13,2.131856496851328e-07,0.0,,,0.0
2022-01-13,0.05754568208721969,0.06430179455843571,,,0.5370106758269898
2022-01-13,0.0002521453271650908,0.00018009905447996397,,,0.3432678080744028
2022-01-13,0.0,0.0,,,
2022-01-13,0.03921256895689701,0.04296005660255998,,,0.5265166599840977
2022-01-13,0.0013320372356451311,0.0005788898179713127,0.0,0.0,0.0
2022-01-13,0.0005399459542400201,0.00019296327265710427,0.0,0.0,0.0
2022-01-14,0.00010872468133941773,3.859265453142085e-05,,,0.17058823529411765
2022-01-14,0.0004552046584901798,0.0007075319997427157,,,0.7469851305467743
2022-01-14,0.0002800726472738432,0.000270148581719946,,,0.46355851569933393
2022-01-14,0.0006217559473066898,9.004952723998198e-05,,,0.06960397737013543
2022-01-14,0.0,0.0,,,0.19708659443500545
2022-01-14,0.680432312783427,0.8481121759825047,,,0.5990194677755304
2022-01-14,4.530195055809072e-06,0.0,,,0.0
